id;conference;venue;location;season;year;document;
Topological Phase Transition in non-Hermitian PD-Symmetric Waveguides;Topological Photonics Workshop;Donostia International Physics Center;San Sebastian;Summer;2022;poster_donostia_2022.pdf;
Non-Hermitian Photonic Topological Insulators;17th International Congress on Artificial Materials for Novel Wave Phenomena;Minoa Palace Resort;Chania;Summer;2023;poster_crete_2023.pdf; 
