Name;Conference;Venue;Prize;Location;Season;Year;
Best Poster;Topological Photonics Workshop;Donostia International Physics Center;150€;San Sebastian;Summer;2022;
Best Student Paper;17th International Congress on Artificial Materials for Novel Wave Phenomena;Minoa Palace Resort;300€ + 625€ Registration Waiver;Chania;Summer;2023;
